title,video_id,duration,release_time,view_count,likes,keywords,description
Rapha Gone Racing - Tro-Bro Léon,QNuM4wswaAU,9min15sec,2021-06-05T16:53:01Z,78597,1457,"With a parcours made up of unpaved farm tracks and a pig instead of prize money awarded to the best placed Breton rider, Tro-Bro Léon is the best race you’ve never watched. Established back in the 1980s by locals trying to save the Breton language, the race is little known beyond France but respected by all who’ve ridden it. Characterised by sectors of ribinoù –  rough and rutted backroads that can be made of anything from cobblestones to compacted dirt – the race sits somewhere between a cobbled classic and a cross race. Add in the rain laden weather front that swept in off the Atlantic Ocean ahead of this year’s edition and the scene was set for complete carnage. Watch the first Rapha Gone Racing episode of 2021 to find out how Mitch Docker, Lachlan Morton and the rest of the EF Education-Nippo team fared on their debut on the Breton backroads of ‘Le Petit Paris-Roubaix’ - Tro-Bro Léon.#GoneRacingMusic: Builder’s Tea - https://builders-tea.com/——————————————————Get more from Rapha:Instagram: https://www.instagram.com/rapha/ Facebook: https://www.facebook.com/rapharacing/Twitter: https://twitter.com/rapha"
Giro d’Italia 2020 - EF Gone Racing,vxLtfvMq80A,24min37sec,2020-11-21T20:00:35Z,217682,4454,"This time last year, we signed off the season with EF Pro Cycling at the traditional end of year race: the Japan Cup. 2020 could not have been more different as the pandemic put paid to all of our plans and prompted one of the strangest and most surprising editions of the Giro d’Italia in its long and storied history. First off, the race took place not in May but in October, by which time there was snow on the upper slopes of the Stelvio and long shadows cast across the streets of Milan where the race would finish. To make matters more mystifying, EF Pro Cycling’s usual pink livery was gone, replaced only by rumours. As the race got underway in Sicily, there were plenty of questions.  Watch the latest episode of EF Gone Racing to relive the team’s incredible achievements and prove the doubters of the ‘Mighty Ducks' wrong.#GoneRacingMusic: Builder’s Tea - https://builders-tea.com/Cover photo: SJ Hockett——————————————————About the alternative calendar: As part of the EF team’s partnership with Rapha, riders will race a calendar of alternative, mixed-terrain, multidisciplinary events throughout the 2020-21 season. From mountain bike epics to week-long ultras, they’ll all captured in special episodes of EF Gone Racing. First Dirty Kanza and GBDuro, Leadville 100 and Cape Epic——————————————————Get more from Rapha:Instagram: https://www.instagram.com/rapha/ Facebook: https://www.facebook.com/rapharacing/Twitter: https://twitter.com/rapha"
Cape Epic 2020 - EF Gone Racing,fqOK7mEvRt8,23min1sec,2020-04-02T20:15:10Z,252696,3591,"The Cape Epic is the world’s toughest mountain bike race. It pits participants against eight days of relentlessly rough South African terrain, with almost constant climbing and descending, and searing temperatures. There are no support cars and no mechanical assistance here. Racers compete in pairs, relying on their teammates, and sleeping beside them at organised camps between stages. To tackle the Cape Epic, you’d better be more than just teammates but firm friends as well. In Lachlan Morton and Alex Howes, EF Pro Cycling had a duo dialled into the demands of mountain biking, and the scene was set for another alternative calendar escapade. But then the news broke…In this episode of Gone Racing, we bring you the story of the race that never was… #GoneRacingMusic: Builder’s Tea - https://builders-tea.com/Cover photo: Gruber Images——————————————————About the alternative calendar: As part of the EF team’s partnership with Rapha, riders will race a calendar of alternative, mixed-terrain, multidisciplinary events throughout the 2019-20 season. From mountain bike epics to week-long ultras, they’ll all captured in special episodes of EF Gone Racing. First Dirty Kanza and GBDuro, Leadville 100 and Cape Epic——————————————————Get more from Rapha:Instagram: https://www.instagram.com/rapha/ Facebook: https://www.facebook.com/rapharacing/Twitter: https://twitter.com/rapha"
Leadville Trail 100 2019 – EF Gone Racing,s9LviOF5aJM,23min17sec,2019-08-29T17:30:01Z,676663,7750,"“I can tell you what to do… I fire that shotgun to start the race and you put your nose on the handlebars and you start pedalling, and you keep pedalling until Merilee tells you to quit. That’ll be the finish line.”After Dirty Kanza and GBDuro, Rapha and EF Education First Pro Cycling’s alternative racing calendar set its sights on the Leadville Trail 100, one of the world’s toughest one-day mountain bike races. An out and back 100-mile course that never drops below 10,000 feet above sea level, Leadville is a lung-busting, heart-breaking hit-out for its 2,000 participants.  Newly minted USA road race champion Alex Howes and GBDuro conqueror Lachlan Morton were the two EF riders to take to the startline. What follows is the story of their race, and of an old mining town saved by a race and its riders.#GoneRacingMusic by Builder’s Tea - https://builders-tea.com/Drone footage by Mat BarlowCover photo by Gruber ImagesUSA nationals photography by Wil Matthews (@photowil)Special thanks to Tom Hopper, Ken Chlouber, Merilee Maupin and Michelle Duffy.——————————————————About EF Gone Racing:In the bus. At home. In the team cars and on top of mountains. EF Gone Racing is a new series from Rapha taking you on the road with EF Education First Pro Cycling. Exclusive access, larger than life characters, and a film crew to capture it all.Watch the story behind Alberto Bettiol’s Monumental win at Flanders here: http://bit.ly/2UEQJT7  Catch up on the full series of EF Gone Racing so far here: https://bit.ly/2D5VgmS  ——————————————————About the alternative calendar: As part of the EF team’s partnership with Rapha, riders will race a calendar of alternative, mixed-terrain, multidisciplinary events throughout the 2019 season. From mountain bike epics to week-long ultras, they’ll all captured in special episodes of EF Gone Racing. First Dirty Kanza and GBDuro, now Leadville. There’s much more to come this season, including: Three Peaks Cyclocross, Taiwan KOM and more. ——————————————————Get more from Rapha:Instagram: https://www.instagram.com/rapha/ Facebook: https://www.facebook.com/rapharacing/Twitter: https://twitter.com/rapha"
Three Peaks Cyclocross 2019 - EF Gone Racing,Jo9bCjFoZRE,15min25sec,2019-10-11T15:57:19Z,270138,4449,"The latest instalment of EF Gone Racing's tour of alternative races around the world sees Lachlan Morton land in Yorkshire. An iconic race on the British cycling calendar, the Three Peaks Cyclocross event has drawn hundreds to the Dales for more than 50 years. But are these runners and riders, runners or riders? Tune in to find out how Morton fared on foot and in the saddle. #GoneRacingMusic: Builder’s Tea - https://builders-tea.com/Drone: Diogo BrancoCover photo: Dan Monaghan Tour of Utah footage: Utah Cycling Partnership, INCArchive footage: Yorkshire Film Archive and North East Film ArchiveSpecial thanks to Tom Hopper, Milica Wren, John Rawnsley, Mark Richmond, Nick Craig, Paul Oldham, Rob Jebb, George Puddle, Kerry MacPhee, Anna Mcleod, Marta Gut and James Fairbank. ——————————————————About EF Gone Racing:In the bus. At home. In the team cars and on top of mountains. EF Gone Racing is a new series from Rapha taking you on the road with EF Education First Pro Cycling. Exclusive access, larger than life characters, and a film crew to capture it all.Watch the story behind Alberto Bettiol’s Monumental win at Flanders here: http://bit.ly/2UEQJT7  Catch up on the full series of EF Gone Racing so far here: https://bit.ly/2D5VgmS  ——————————————————About the alternative calendar: As part of the EF team’s partnership with Rapha, riders will race a calendar of alternative, mixed-terrain, multidisciplinary events throughout the 2019 season. From mountain bike epics to week-long ultras, they’ll all captured in special episodes of EF Gone Racing. First Dirty Kanza and GBDuro, now Leadville. There’s much more to come this season, including: Three Peaks Cyclocross, Taiwan KOM and more. ——————————————————Get more from Rapha:Instagram: https://www.instagram.com/rapha/ Facebook: https://www.facebook.com/rapharacing/Twitter: https://twitter.com/rapha"
GBDuro 2019 – EF Gone Racing,e74xncSCoqw,32min8sec,2019-07-16T15:00:07Z,547054,8750,"If Dirty Kanza whet your appetite for rides out of the ordinary, allow us to introduce GBDuro: a 2,000km race devised by The Racing Collective, mostly off-road, that joins the UK’s furthest points. Lachlan Morton set off from Land’s End, not really knowing what was in store. This is what he found.The alternative calendar is our attempt at changing the status quo in cycling. Together with EF Education First Pro Cycling we want to expand the sport’s horizons to make it a more engaging and entertaining prospect for all.#GoneRacingMusic: Builder’s Tea - https://builders-tea.com/Additional photography: Stuart Downie, the Grubers and Dan MonaghanLael Wilcox photography by Spencer HardingRAAM footage courtesy of Race Across AmericaFamily video and photography provided by David MortonWith thanks to Rachel Peck and Michael Woods——————————————————About EF Gone Racing:In the bus. At home. In the team cars and on top of mountains. EF Gone Racing is a new series from Rapha taking you on the road with EF Education First Pro Cycling. Exclusive access, larger than life characters, and a film crew to capture it all.Watch the story behind Alberto Bettiol’s Monumental win at Flanders here: http://bit.ly/2UEQJT7 Catch up on the full series of EF Gone Racing so far here: https://bit.ly/2D5VgmS -------------------------------------About the alternative calendar: As part of the team’s partnership with Rapha, riders from the EF team will race a calendar of alternative, mixed-terrain, multidisciplinary events throughout the 2019 season. From mountain bike epics to week-long ultras, they’ll all captured by in special episodes of EF Gone Racing. First Dirty Kanza, now GBDuro. There’s much more to come this season, including: the Leadville Trail 100 MTB, Three Peaks, Taiwan KOM and more. -------------------------------------Get more from Rapha:Instagram: https://www.instagram.com/rapha/ Facebook: https://www.facebook.com/rapharacing/Twitter: https://twitter.com/rapha"
Rapha Gone Racing - Alaska Pipeline FKT,oHEN9WpVayc,21min11sec,2021-09-27T19:00:11Z,212631,5550,"Four feet wide and carried five above the ground by a seemingly endless series of stanchions, the Alaska Pipeline is, for most of its 800-mile route, the only mark humanity has made on the pristine wilderness of this last frontier. The only mark, that is, except for the road that accompanies the pipeline on its long journey south from the Artic outpost of Prudhoe Bay to Valdez. For born and bred Alaskan Lael Wilcox, this lonely road has always held a special interest. In fact, she’s ridden most of it before. But this time she’s back with a new challenge to set a Fastest Known Time, or FKT, for the route and bring a new source of energy to the road. By pushing herself, she hopes to encourage other riders, wherever they live and however long they’ve been riding, to do the same. But this is a record attempt not a race, so Lael’s number one adjective is to have fun. All you have to do is show up with what you have, ride with all your heart and see how it goes. Oh, and you need to eat like it’s your job! Created by an all-female crew, tune into this latest episode of Rapha Gone Racing to find out how Lael got on in the Alaskan wilderness and whether the rumours that she is quicker than crude oil are actually true.#GoneRacingMusic: Builder’s Tea - https://builders-tea.com——————————————————Get more from Rapha:Instagram: https://www.instagram.com/rapha/ Facebook: https://www.facebook.com/rapharacing/Twitter: https://twitter.com/rapha"
Rapha Gone Racing - Cape Epic 2021,TG-app2HQR0,22min44sec,2021-12-13T20:00:10Z,124036,3786,"Welcome to the world’s toughest mountain bike race. Over seven stages and a prologue, on sinuous single track and dusty farm roads, under glaring South African sun and the odd sudden downpour, the Cape Epic always crowns a worthy winner. Two, in fact, since riders race in pairs. But we know all this… We’ve been here before, and 18 months after the pandemic put paid to our first appearance at the Cape Epic, Rapha Gone Racing returns for a second attempt. But so much has changed since last time. For a start, none of Lachlan Morton’s regular teammates could make it to this race so the team has reached out for reinforcements. And in Kenya’s Kenneth Karaya, they’ve uncovered a gem. This will be the biggest race of his life so far but in Lachlan Morton, he has the perfect partner for keeping things in perspective. After all, racing is never all about results. Tune into Rapha Gone Racing from the Cape Epic to find out how they fared. #GoneRacingMusic: Builder’s Tea - https://builders-tea.comAdditional Migration Gravel footage: Wahoo ——————————————————Get more from Rapha:Instagram: https://www.instagram.com/rapha/ Facebook: https://www.facebook.com/rapharacing/Twitter: https://twitter.com/rapha"
0,xaCHqTpoRwE,0,0,0,0,0
The Rapha Why,9xhdxRSm-MU,5min35sec,2017-01-01T15:12:12Z,306546,2376,"The Rapha story, as told by founder Simon Mottram."
The Rapha Cycling Club,7IE6oiBMgns,1min,2020-01-28T18:33:22Z,40888,494,The new year marks a new start for the Rapha Cycling Club. Now is the perfect time to join – find out why the RCC’s members get more http://bit.ly/2vkhRes
Rapha - Riding is the Answer,ls4qrT6IMmo,1min40sec,2018-06-07T12:46:38Z,102273,1141,"We believe cycling transforms lives. It is a solution to problems personal and collective, a source of strength and friendship, a means of exploration and a tool of discovery. Riding is the answer.Find out more: http://ow.ly/pbGk30kpf1i"
Perspectives,Vchq-t9nPYA,15min1sec,2017-02-03T23:06:48Z,215716,2429,"For Drew Ginn, Jesse Carlsson, Katya Crema and Tony D’Alberto, dedication to a goal has shaped their lives. Four athletes from different disciplines, they have all experienced majestic highs and catastrophic lows in their careers - and have each turned to the bike as a source of inspiration and escape. In this short film by Kintaro Studios they share their perspectives on riding, and the rewards that come from commitment."
Rapha and EF: Cycling with character,WNtTMl48wWA,1min1sec,2018-10-08T12:01:32Z,35108,212,"Rapha is thrilled to return to the men’s WorldTour in 2019 with EF Pro Cycling. A squad of multiple nationalities and larger-than-life personalities, EF have refused to conform since day one. Together, we share a desire to disrupt the status quo of the sport we love, and show cycling with character. Find out more at rapha.cc/EF"
Rapha + Paul Smith: A Conversation,IDv4ZWvGrzg,6min21sec,2010-12-14T11:18:42Z,20860,87,"In this exclusive short film, Rapha founder and CEO Simon Mottram talks to Sir Paul Smith about the celebrated designer's love of cycling.A revealing and engaging portrait of one man's enduring passion for the sport, Paul Smith recalls his days as a young rider sneaking home copies of the 'exotic' newspaper, L'Equipe, the heroes that inspired him, and his father's bemusement at the very un-English sport of road racing.The discussion includes the changing nature of the sport and the pros and cons of following cycling in the internet age. Sir Paul also reveals the special relationship he enjoys with some of today's elite riders, as well as the pleasures of watching the Giro d'Italia at his local bike shop in Italy.Filmed at Sir Paul's office, November 2010.http://www.rapha.cc/shop/paul-smith"
Rapha RIDES Boulder,v0ljDEX6gFI,5min13sec,2017-04-28T15:53:05Z,106825,1386,"An Olympian and former national champion, Connie Carpenter’s sporting history is remarkable. See Boulder from her perspective in the first of our Rapha Rides films.Find your local Rapha Rides event: http://ow.ly/XxoK30k7ZcKWatch more Rapha Rides films: http://ow.ly/EAg430k7ZfO"
thrivor presents No Plan B: From Cancer to Corsica,6JtVFGC0Zf0,26min36sec,2015-01-30T18:25:41Z,134803,2266,"A powerful half-hour film documenting one man's experience of his body at war with itself.Founded in Australia by cyclist and former cancer patient Justin McLean, thrivor is a non-profit organisation that acts as an advocate for the needs of cancer patients, their families and carers around the world. To help promote awareness of thrivor’s work, Rapha has produced the thrivor cap, recently modelled by Team Sky’s Richie Porte at the Tour Down Under. All profits will go directly to thrivor, so if you would like to show your support, this limited edition cap is now available."
Meet The Cheetah - The Nelson Vails Collection,hwFn6KOQdjk,2min49sec,2019-04-25T12:00:06Z,17951,391,"If you believe that history remembers only the reigning champions, the rivalries and the record breakers, Nelson Vails begs to differ: “I was straight New York. I went out to the Olympic Games and I was doing it. This time everyone remembers who came second,” referencing his historic silver medal at the 1984 Games.Vails grew up riding his bike for work on the streets of Manhattan, training lap after lap of Central Park, and racing in eye-catching lightning bolt kit. To mark the release of our latest limited edition capsule collection, we met him for a guided tour of his home turf.Shop the Nelson Vails Collection: http://ow.ly/oPJ930ox37ZAdditional Photography by Chadwick Tyler, Gabriel Cervantes, George Hymas, James Swan and Peter Hymas"
Rapha Roadside | Bunnyhop the Patriarchy,MWVzZbVUPQM,2min12sec,2018-02-02T12:18:40Z,21317,234,"Pauline Ferrand-Prevot and Ellen Noble are among the only women who bunnyhop the barriers in elite cyclocross racing. We travelled to Hoogerheide, Holland for the UCI Cyclocross World Cup to spend some time with 'PFP', CANYON//SRAM’s three-time world champion rider, and Aspire Racing’s rising star Noble. They spoke frankly about the barriers women face in their sport, and the movement growing around #bunnyhopthepatriachyRead more at: http://ow.ly/JugO30i9WR8"
Ivy’s link to home – Rapha Core Cargo Shorts,DK3QL4Jv8zI,1min13sec,2019-04-15T12:00:01Z,16422,179,"The new Core Cargo Bibs were designed to carry more, for everything you need on every ride. Cycling is a chance for mother-of-two Ivy to let her mind wander but, wherever she rides, her kids are always front of mind. She rides in the Core Cargo Shorts so that home is always just a phone call away. Shop the collection now to find your own pair: http://ow.ly/PyK630onbmb"
Kelton’s Topanga notebook – Rapha Core Cargo Shorts,uBbwvX1R4sU,1min11sec,2019-04-10T12:00:16Z,20051,239,"The new Core Cargo Bibs were designed to carry more, for everything you need on every ride. Riding in the hills around Topanga, just outside of Santa Monica, writer Kelton Wright carries more in Core so that she can come back from her ride with less on her mind. Shop the collection now to find your own pair: http://ow.ly/PyK630onbmb"
Miguel’s Mallorcan oranges – Rapha Core Cargo Bib Shorts,ek0bQ3uqeYU,1min11sec,2019-04-18T12:00:05Z,21777,254,"The new Core Cargo Bibs were designed to carry more, for everything you need on every ride. An aspiring professional racer until recently, Miguel has swapped racing for a different style of riding. These days he heads out on his bike for a good time, rather than a winning one. In the pockets of his Core Cargo Bib Shorts, he takes food to fuel his adventures. Shop the collection now to find your own pair: http://ow.ly/PyK630onbmb"
Tommy’s club colours – Rapha Core Cargo Bib Shorts,I-KcO_BC8PY,1min10sec,2019-04-12T13:08:40Z,22992,376,"The new Core Cargo Bibs were designed to carry more, for everything you need on every ride.  Tommy moved from Chicago to Los Angeles only recently so riding in the hills is still fairly new territory. To ensure he has all he needs for the steep climbs and swooping descents, he rides in the Core Cargo Bib Shorts. Shop the collection now to find your own pair: http://ow.ly/PyK630onbmb"
The Pocket Rocketman,n0Z3Y0eFpX4,1min26sec,2017-12-08T13:12:21Z,23509,370,"In 2011, track cyclist Azizul Awang’s career almost ended when a ten-inch splinter pierced his leg during a race. Six years later, the Rapha Cycling Club member is an Olympic medalist, world champion and Malaysian hero.In November 2017, Rapha went to meet the sprinter they call The Pocket Rocketman at the scene of the accident, the Manchester velodrome, where he was competing at the UCI Track World Cup. Read the full interview: http://ow.ly/nzjb30h637v"
Rapha Calling,mJOPE2BhiOk,2min8sec,2015-05-26T15:56:14Z,68659,679,"The Calling is Rapha’s salute to women who rise and ride, alone or together.It’s our commitment to inspire and support women to clip in for longer days, steeper climbs, and roads less travelled. The Calling is for women who hear themselves more clearly when the road is beneath them and the sky is long before them.The Calling is for women who love riding their bikes.  For women who try a little harder, dig a little deeper, push a little further.The Calling is finding that little slice of magic in an otherwise rough ride, rough place, rough day.The Calling is not wanting to be anywhere but here, on this bike, in this moment.If you feel this, you are not alone.This is The Rapha Calling. Join us.http://pages.rapha.cc/rapha-calling"
"Whoever you are, wherever you ride | Rapha Core",feiRpSPknQM,4min49sec,2016-02-23T11:21:45Z,398584,5605,"Whoever you are, wherever you ride, Rapha Core offers the essentials in performance and functionality. Consisting of a cycling jersey and shorts for men and women, the Rapha Core collection is nothing more and nothing less than the basics, perfectly crafted to set the new standard in everyday ridewear.Discover the Rapha Core Collection: http://ow.ly/XouP30k1UOhAn ERTZUI FILM for RAPHA---------------------------------------------Photography: Kristian Walter & Martin GilluckArchitecture: Kristian WalterMontage: Martin GilluckMusic: Lazy Salon & A Dancing BeggarSound Design: Marian MentrupColour Grading: Martin Schröder"
"The further away, the better",MNwO-RJBH38,7min4sec,2021-02-26T17:07:33Z,121995,3296,"“I’ve ridden many thousands of miles on my bike all these years and I can’t say I regret anything… There were rough times but also good times. You just know it’s a challenge that you’ve got to overcome.”We all have roads that lodge in our mind, routes we want to take. One such route is across the Sprengisandur, an uninhabited highland plateau crowned by an 826-metre pass in the central ranges of Iceland. Plenty have tried to cross, and plenty have failed. In 2015, Rapha sent filmmaker George Marshall and framebuilder Tom Donhou to attempt the crossing. But after days of high winds, the pair were forced to stop. Four years later, George returned to lead another group across the 170 miles between the end of the tarmac near Reykjavik and the northern stronghold town of Akureyri. But they were far from being the first to make the crossing.Over 60 years before, Ron Bartle joined Dick Phillips, Bernard Heath and their guide Raymond Bottomley for the first-ever unsupported ride across the Sprengisandur. They spent ten days in the wilderness, crossing rivers in inflatable dinghies and pushing their bikes for miles over boulder fields until they finally reached the first farmstead in the north. Now in his mid-eighties and still an avid cyclist, Ron has recounted the story of his unexpected Icelandic adventure. And at a time when many of us cannot ride the roads lodged in our minds, he reminds us that they’ll still be there this year and the next. FIND OUT MORE: https://www.rapha.cc/stories/the-long-and-winding-roadFOLLOW US: https://www.instagram.com/rapha/www.rapha.cc"
New Spring/Summer collections: Go further,I2mXefr4wEU,1min,2020-02-11T19:13:35Z,85419,693,"This sport is more than a game. There are no arenas to enclose you and no limits to what you can find while riding your bike. Old friends and new ways of thinking, strict regimen and complete freedom are all available to those who push themselves – against the elements and against themselves. From all-new eyewear to race-ready shoes, our new season releases are designed to help you find it all and go further."
"Rapha Continental: Santa Rosa, California with Andy Hampsten",R8SoaBf5qz0,6min45sec,2012-09-05T12:53:16Z,89815,509,"http://www.rapha.cc/santa-rosa-with-andy-hampstenThe Rapha Continental North America's second expedition of 2012 took them to Santa Rosa, California to ride with the inimitable Andy Hampsten."
Rapha Continental with Greg LeMond,KJVRDoaIyLs,7min13sec,2012-11-09T11:21:27Z,118037,833,""
The art of escape on two wheels and four,qkds8SHBLn0,2min42sec,2019-06-28T16:36:55Z,37206,669,"Perfect escapes start long before the first pedal stroke. Three Rapha riders used the new London-based car rental app THE OUT for a weekend road trip to the Isle of Arran. The journey, from central London to the rugged Scottish island, was planned to recce the roads of this year’s first Grinduro, an off-road cycling event somewhere between a party and a race that has quickly become one of the most loved gravel events on the calendar.THE OUT: https://theout.com/Music: Builder’s Tea - https://builders-tea.com/"
